"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 11, 2019","15.462","15.530","15.530","15.455","0.76K","0.81%"
"Mar 10, 2019","15.338","15.352","15.352","15.322","-","-1.27%"
"Mar 08, 2019","15.536","15.220","15.560","15.215","0.75K","2.04%"
"Mar 07, 2019","15.226","15.235","15.315","15.180","1.44K","-0.30%"
"Mar 06, 2019","15.272","15.325","15.355","15.250","0.32K","-0.13%"
"Mar 05, 2019","15.292","15.275","15.345","15.265","0.66K","-0.01%"
"Mar 04, 2019","15.293","15.475","15.475","15.280","0.45K","0.88%"
"Mar 03, 2019","15.160","15.300","15.300","15.117","-","-1.84%"
"Mar 01, 2019","15.444","15.750","15.780","15.365","0.57K","-2.41%"
"Feb 28, 2019","15.826","15.960","16.040","15.815","0.41K","-0.83%"
"Feb 27, 2019","15.959","16.090","16.105","15.955","0.66K","-0.97%"
"Feb 26, 2019","16.116","16.125","16.175","16.030","0.42K","-0.01%"
"Feb 25, 2019","16.118","16.225","16.225","16.100","0.54K","1.48%"
"Feb 24, 2019","15.883","15.880","15.893","15.867","-","-1.94%"
"Feb 22, 2019","16.197","16.080","16.215","16.075","0.34K","0.66%"
"Feb 21, 2019","16.091","16.315","16.315","16.070","0.34K","-2.27%"
"Feb 20, 2019","16.464","16.225","16.470","16.225","0.75K","1.29%"
"Feb 19, 2019","16.255","16.055","16.255","16.030","0.90K","2.96%"
"Feb 18, 2019","15.787","15.752","15.828","15.738","-","0.25%"
"Feb 17, 2019","15.748","15.752","15.760","15.742","-","-1.74%"
"Feb 15, 2019","16.027","15.955","16.045","15.845","0.22K","1.38%"
"Feb 14, 2019","15.809","15.860","15.895","15.730","0.36K","-0.78%"
"Feb 13, 2019","15.933","15.980","16.050","15.875","0.77K","-0.26%"
"Feb 12, 2019","15.975","16.055","16.095","15.945","1.46K","-0.03%"
"Feb 11, 2019","15.979","16.080","16.080","15.945","0.29K","1.02%"
"Feb 10, 2019","15.818","15.822","15.822","15.785","-","-1.74%"
"Feb 08, 2019","16.098","16.060","16.130","16.025","0.54K","0.62%"
"Feb 07, 2019","15.999","15.950","16.010","15.930","0.63K","0.09%"
"Feb 06, 2019","15.984","16.035","16.110","15.935","0.16K","-0.84%"
"Feb 05, 2019","16.119","16.120","16.190","16.120","0.27K","-0.30%"
"Feb 04, 2019","16.168","15.985","16.165","15.985","0.60K","1.61%"
"Feb 03, 2019","15.912","15.910","15.932","15.902","-","-1.84%"
"Feb 01, 2019","16.210","16.340","16.340","16.190","0.37K","-0.84%"
"Jan 31, 2019","16.348","16.400","16.470","16.320","0.33K","0.89%"
"Jan 30, 2019","16.204","16.135","16.235","16.135","1.38K","0.54%"
"Jan 29, 2019","16.117","16.020","16.130","16.020","0.22K","0.50%"
"Jan 28, 2019","16.037","15.925","16.035","15.925","0.09K","1.94%"
"Jan 27, 2019","15.732","15.758","15.765","15.732","-","-1.48%"
"Jan 25, 2019","15.969","15.630","15.965","15.630","0.35K","2.58%"
"Jan 24, 2019","15.567","15.635","15.635","15.560","0.18K","-0.51%"
"Jan 23, 2019","15.647","15.690","15.690","15.570","0.07K","0.35%"
"Jan 22, 2019","15.592","15.490","15.620","15.490","0.14K","2.02%"
"Jan 21, 2019","15.283","15.363","15.383","15.207","-","-0.52%"
"Jan 20, 2019","15.363","15.360","15.395","15.357","-","-1.96%"
"Jan 18, 2019","15.670","15.665","15.720","15.660","0.12K","-0.88%"
"Jan 17, 2019","15.809","15.890","15.890","15.785","0.07K","-0.64%"
"Jan 16, 2019","15.911","15.820","15.915","15.820","0.12K","0.12%"
"Jan 15, 2019","15.892","15.890","15.975","15.865","0.46K","-0.44%"
"Jan 14, 2019","15.962","15.900","15.970","15.900","0.23K","2.08%"
"Jan 13, 2019","15.637","15.635","15.652","15.633","-","-1.85%"
"Jan 11, 2019","15.931","15.955","16.035","15.930","0.57K","0.08%"
"Jan 10, 2019","15.918","15.965","15.975","15.905","0.65K","-0.57%"
"Jan 09, 2019","16.009","16.015","16.020","15.990","0.42K","0.13%"
"Jan 08, 2019","15.988","15.925","16.000","15.915","0.49K","-0.21%"
"Jan 07, 2019","16.021","16.115","16.130","16.085","0.14K","1.69%"
"Jan 06, 2019","15.755","15.770","15.805","15.752","-","-1.85%"
"Jan 04, 2019","16.052","16.140","16.140","16.000","0.53K","-0.06%"
"Jan 03, 2019","16.061","15.890","16.060","15.890","0.17K","0.97%"
"Jan 02, 2019","15.907","15.715","15.925","15.710","0.62K","2.47%"
"Jan 01, 2019","15.523","15.560","15.560","15.515","-","-1.73%"
